Latitude,Longitude,Altitude (m),Resolution (m),Bearing (degrees)
13.064156,80.17023,16,31.313269,271.323218
13.064165,80.16983,15.3,43.338328,268.693228
13.064151,80.1692,15,68.257421,268.649878
13.064142,80.168808,15,42.472031,255.409813
13.064053,80.168457,15,39.286146,244.124528
13.063907,80.168148,15,37.199403,232.800136
13.063663,80.167818,15,44.875395,230.90376
13.063401,80.167487,16,46.197111,230.7153
13.063248,80.167295,16,26.869092,227.912895
13.062399,80.16633,16,140.847354,227.757012
13.062307,80.166226,15.8,15.216857,222.564937
13.061695,80.165649,15.7,92.39673,235.112501
13.061587,80.16549,15,20.996051,234.942716
13.061533,80.165411,15.3,10.453648,245.289011
13.061416,80.16515,15.3,31.120829,250.840224
13.061306,80.164825,16,37.267783,259.653175
13.061253,80.164527,16,32.812401,269.825285
13.061251,80.163854,16,72.898491,270.067242
13.061252,80.162978,14,94.886813,270.902028
13.061271,80.161739,13,134.22288,271.523795
13.061303,80.160504,17,133.820279,274.77444
13.061358,80.159828,18,73.478038,277.156108
13.061409,80.159411,18,45.52327,277.22292
13.061419,80.15933,18,8.84395,277.775711
13.061531,80.158488,17.5,92.050201,273.455692
13.061549,80.158182,17.3,33.205709,268.583037
13.061541,80.15785,17.2,35.972602,257.698684
13.061476,80.157544,16.9,33.924218,249.789072
13.061424,80.157399,16.9,16.736652,241.727308
13.060964,80.156521,16,107.985862,242.497411
13.060716,80.156032,16.7,59.716253,246.328961
13.060637,80.155847,16.7,21.879757,253.289267
13.060575,80.155635,16.5,23.976064,256.464166
13.060522,80.155409,16.6,25.179376,263.601346
13.060496,80.155171,16.7,25.941413,267.36434
13.060486,80.154948,16.8,24.180614,273.581783
13.060506,80.15462,17,35.598014,280.196754
13.060793,80.152982,18.5,180.272844,284.62289
13.0609,80.152561,18.6,47.128601,293.033685
13.061052,80.152194,18.5,43.196669,297.203193
13.061409,80.151481,16,86.835644,301.791016
13.061441,80.151428,16,6.75415,297.63304
13.06185,80.150626,16.9,98.055576,290.551929
13.061892,80.150511,16.9,13.303255,283.494428
13.061964,80.150203,16.8,34.309095,276.886387
13.061984,80.150033,16.9,18.547847,270.708657
13.061989,80.149618,17,44.95536,268.265841
13.061918,80.147211,17.6,260.840683,264.062567
13.061833,80.146372,16,91.368914,262.753087
13.061668,80.14504,15,145.441429,263.259459
13.061544,80.143963,16.9,117.470544,265.557789
13.061441,80.142602,15,147.865157,265.350627
13.061388,80.141933,14,72.70408,265.800248
13.061291,80.140577,16.3,147.274927,267.217663
13.061217,80.139014,19,169.501196,267.000966
13.061185,80.138387,19,68.008677,266.397457
13.061093,80.136887,17.4,162.799113,262.800888
13.06103,80.136375,16.7,55.899648,256.732151
13.060931,80.135944,16.5,47.965512,253.144987
13.060828,80.135595,16.5,39.499977,250.598981
13.060734,80.135321,16.6,31.465992,246.241072
13.060478,80.134724,18,70.654207,245.163493
13.060244,80.134205,18,61.946839,245.003472
13.05957,80.132721,19,177.357816,245.857501
13.05813,80.129423,18,391.480332,243.462513
13.057878,80.128905,18,62.717357,239.192359
13.05772,80.128633,18,34.303482,234.331284
13.057634,80.12851,18,16.399928,234.599252
13.057463,80.128263,19,32.823387,232.40711
13.057337,80.128095,19,22.966359,231.153685
13.057195,80.127914,19,25.173513,230.210753
13.056593,80.127172,18,104.598182,230.161654
13.05533,80.125618,20.4,219.221778,233.465699
13.055081,80.125273,20.6,46.509876,241.999144
13.055009,80.125134,20.7,17.052802,249.737761
13.054895,80.124817,20.8,36.602834,256.414738
13.054774,80.124303,21,57.279618,256.64472
13.054598,80.123542,18,84.7236,258.013565
13.054501,80.123073,18.4,51.934975,263.760395
13.054483,80.122904,18.5,18.41537,270.000036
